symbol,name,mode,core_group,scan_source,market_phase,side,shares,entry_timestamp_utc,exit_timestamp_utc,entry_price,exit_price,exit_reason,confidence,broker_parent_order_id,pnl,outcome
ACHR,Archer Aviation,secondary,non_core,SCHEDULED,MORNING,SELL,97.0,2026-03-27T14:00:01.569351+00:00,2026-03-27T14:05:02.930145+00:00,5.15,5.18,STOP_HIT,70.0,14f02443-cb05-4de4-9f1e-ba02105a47b0,-2.91,LOSS
OPEN,Opendoor,secondary,non_core,SCHEDULED,MORNING,SELL,107.0,2026-03-27T14:00:01.569351+00:00,2026-03-27T14:05:03.571824+00:00,4.66,4.7,STOP_HIT,99.0,cc466ee1-fb26-4327-9710-205a5ee091d1,-4.28,LOSS
RKLB,Rocket Lab,third,non_core,SCHEDULED,MORNING,SELL,8.0,2026-03-27T14:10:01.335951+00:00,2026-03-27T14:15:03.547627+00:00,62.495,63.0487,STOP_HIT,70.0,ceab1b4d-8abf-4bcc-ad94-f96055c702a2,-4.4296,LOSS
CLOV,Clover Health,third,non_core,SCHEDULED,MORNING,SELL,281.0,2026-03-27T14:10:01.335951+00:00,2026-03-27T14:20:09.520711+00:00,1.775,1.78,STOP_HIT,93.0,52f9f600-d61e-4d42-98da-4231ab356d5c,-1.405,LOSS
QBTS,D-Wave Quantum,fourth,non_core,SCHEDULED,MORNING,SELL,35.0,2026-03-27T14:20:00.939825+00:00,2026-03-27T14:30:11.793816+00:00,14.12,13.96,TARGET_HIT,70.0,5f9fb021-3ad6-41f1-9800-f787cb79813a,5.6,WIN
MSFT,Microsoft,core_one,core,SCHEDULED,MORNING,SELL,1.0,2026-03-27T14:30:01.503294+00:00,2026-03-27T14:45:04.828711+00:00,358.45,359.69,STOP_HIT,93.0,8a1e306b-a933-488e-a009-24396496124e,-1.24,LOSS
NVDA,NVIDIA,core_one,core,SCHEDULED,MORNING,SELL,2.0,2026-03-27T14:30:01.503294+00:00,2026-03-27T14:50:10.864760+00:00,167.94,168.605,STOP_HIT,103.0,20bbe0c4-b9b7-4475-bb0f-e14d523512a9,-1.33,LOSS
TSLA,Tesla,core_one,core,SCHEDULED,MORNING,SELL,1.0,2026-03-27T14:30:01.503294+00:00,2026-03-27T14:50:11.419363+00:00,363.155,365.37,STOP_HIT,94.0,99c15394-61d0-44f0-b8a3-e307b565489f,-2.215,LOSS
AVGO,Broadcom,core_two,core,SCHEDULED,MORNING,SELL,1.0,2026-03-27T14:40:01.526477+00:00,2026-03-27T14:50:12.803032+00:00,302.75,304.2,STOP_HIT,91.0,3bb7ad08-002b-4f24-afcb-0ec976a44c85,-1.45,LOSS
PLTR,Palantir,core_one,core,SCHEDULED,MORNING,SELL,3.0,2026-03-27T14:30:01.503294+00:00,2026-03-27T14:55:03.961781+00:00,143.25,143.96,STOP_HIT,97.0,68f95315-3be8-4650-91ce-41aa14456559,-2.13,LOSS
